signal_id,app_id,review_text,review_score,review_date,helpful_count
pm_app1_review_61,1,"App wouldn't let me send money with either of my cards, and kept declining transfers. I checked my info multiple times and everything was correct. Claimed to send money ""in minutes"" but when I contacted customer service they told me it could take hours. After multiple attempts to send money through this app, I am going to have to find another way to get the money where it needs to go. This urgent matter could have been dealt with more quickly by other means.",1,2022-07-07,103
pm_app1_review_62,1,"Does not work. Gives ""This application is not supported on rooted devices. Please contact carrier or vendor to restore an official Android release to your device."" Used this app numerous times before, so what changed? Uninstalled the app and then reinstalled it. Says it's compatible with my device but the same message comes up about this application is not supported on rooted devices. It's the same phone I've used for all previous transactions, so what did you do to lock me out? Please fix",1,2024-05-04,25
pm_app1_review_63,1,"Horrible. Hasn't worked for over a month (edited to 1 star from 5 star). I used to use this app once or twice a month, but not since it stopped working. It would never stop loading when trying to send money. Now it won't even get past the western union screen to log in before I get an error message. I tried Uninstalling the app and even factory resetting my phone to no avail. I would never use this app if I didn't have to. I can only send my brother money via Western Union and its a shame.",1,2021-07-06,0
pm_app1_review_64,1,"I would give 0 stars if it was possible. I went in expecting to be able to buy a money order, give a security question / answer, and send the routing number / answer to my friend and he could pick it up. Not at ALL what happened. They FORCED me to download the app, and then it took FOREVER to load and create an account. The app is hard to navigate and I had to pay a $15 fee just to send money. I have never experienced anything like this before. Western Union used to be great but is now terrible.",1,2019-01-09,6
pm_app1_review_65,1,"Has become useless. Used to be great & easy. Sent money tons of times from my card to their card. Then suddenly they want me to call to authorize, & email a photo of my ID. Fine. Done. Next transaction (4 days later!) To the same account, they tell me To authorize this one (same process) too. Update: App is worse than ever. Gave it another chance, and now nothing but technical problems. Can't even log in 😂😂 Zero stars.",1,2019-11-23,0
pm_app1_review_66,1,"The worst experience I had with transferring the money out of the country. My transfer was put on hold, spoke with someone to verify everything, and they said everything was OK and then certainly received an email that my transfer got canceled. Called customer service and they said they couldn't access the reason for the cancellation. What is the point of calling previously to confirm everything and canceling after, this is ridiculous.",1,2024-01-14,33
pm_app1_review_67,1,"The service was lacking using the phone, switched to the app, and up until recently, seems each transaction has a questionaire, they call to interogate although been sending to the same people for years. Some questions are parental. Have you met the people?Whats it used for? Do you know them. Certainly they are the only ones in my profile. Just crazy, the parenting skills. I'm a senior, have'nt needed anyone to guide me as of yet. Oh and thanx for the annoying questions. Found a cheaper way 👍",1,2022-06-14,1
pm_app1_review_68,1,"Outright scam. They advertise that the first transaction is free, but they charge you for it! I called customer service and they say it's a known bug!! What the heck. The headline announcement advertising the free transfer works, but the actual credit does not?? They are all hoping that people accept it without question. That's what finance is all about nowadays. How to scam the public.",1,2022-09-04,21
pm_app1_review_69,1,"highly disappointed with the way the app works!!!! Better yet it never seems to work whenever I use it! Dollar general is the only store within a 15 mile radius of me so I always pick my money up there and of course you need the app to do so! The apps ALWAYS freezes up after I put the senders information in and never lets me hit ""next""! I don't understand why it always does this! And it's not my phone because my husband is 3 hours away from me and it does the exact samething to him whenever he",1,2020-07-10,1
pm_app1_review_70,1,"Glitchy, unresponsive and slow at times. Every now and then, the app won't allow me to complete a transaction because the ""process couldn't be completed using this payment method."" (Or something along the lines of that) If I were to exit the app, repeat the transaction with the exact same payment method, it magically works without issue.",1,2019-03-29,3
pm_app1_review_71,1,"Let me start by saying this app was well worth a 5 star but as of now a one star would mean it works. This app does not work at all, you try to log in and it stays on the logo and the same error message I combined about prior. I have had to go online or in store. Its been well over 2 months this has been going on, if there is nothing that can be done to fix the error say so because its a waste of time and space on people's phones if its not going to work the way it should.",1,2020-08-21,3
pm_app1_review_72,1,"Gave up. WU hasn't kept up, very sad. I tried using this application on a Samsung Galaxy S3. I often see Western Union system errors. Which to me means this application is not really ready for primetime. this is unfortunate, because I like the features of this application. Couldn't get into my acct, escalated thru WU CS. They couldn't figure it out. Got a bunch of promo codes for the hassle. After 10 years am switching to another company. It is now September of 2018. The app is still not working. The kiosk in the local Walgreens store does not work. I'm able to send any transaction overseas via Western Union. Indian customer service completely useless, they follow a script and go to illogical Loops unable to solve anything. Very disappointing for a proud American company. Search Google there are other Alternatives that are much more modern and much cheaper. Good luck Western Union help you fix your problems!",1,2018-09-14,111
pm_app1_review_73,1,If I could put a zero I would. At first I didnt have any problem until my transfer was put on hold for review. It's for a security reason which isn't a problem for me. They said to send an ID doc (which I did 3 TIMES) and wait 48 hours for release. A week gone by and nothing changed. I called to figure out what's going on and either: they cant find the tracking number or the system is messed up and to call back (which I did 5 times) or they never received it. Won't give a refund. Won't use again,1,2022-11-01,3
